,image_file,bbox,label
0,ABbframe00154.jpg,"[[280, 248, 315, 312]]",2
1,ABbframe00160.jpg,"[[246, 233, 275, 304]]",2
2,ABbframe00166.jpg,"[[227, 216, 259, 293]]",2
3,ABbframe00169.jpg,"[[237, 210, 267, 286]]",2
4,ABbframe00190.jpg,"[[364, 260, 400, 304]]",2
5,ABbframe00235.jpg,"[[395, 255, 427, 331]]",2
6,ABbframe00265.jpg,"[[249, 274, 283, 330]]",2
7,ABbframe00271.jpg,"[[206, 285, 241, 337]]",2
8,ABbframe00274.jpg,"[[189, 311, 227, 355]]",2
9,ABbframe00277.jpg,"[[173, 351, 217, 383]]",2
10,ABbframe00280.jpg,"[[167, 378, 211, 407]]",2
11,ABbframe00283.jpg,"[[154, 402, 200, 449]]",2
12,ABbframe00286.jpg,"[[144, 431, 183, 488]]",2
13,ABbframe00292.jpg,"[[114, 454, 155, 518]]",2
14,ABbframe00295.jpg,"[[104, 444, 146, 510]]",2
15,ABbframe00298.jpg,"[[93, 433, 142, 489]]",2
16,ABbframe00301.jpg,"[[87, 411, 139, 458]]",2
17,ABbframe00304.jpg,"[[91, 388, 145, 419]]",2
18,ABbframe00313.jpg,"[[131, 320, 173, 358]]",2
19,ABbframe00316.jpg,"[[149, 307, 185, 349]]",2
20,ABbframe00319.jpg,"[[166, 302, 200, 343]]",2
21,ABbframe00328.jpg,"[[208, 325, 240, 366]]",2
22,ABbframe00346.jpg,"[[315, 356, 369, 399]]",2
23,ABbframe00349.jpg,"[[354, 297, 399, 364]]",2
24,ABbframe00370.jpg,"[[375, 255, 400, 357]]",2
25,ABbframe00421.jpg,"[[396, 343, 428, 442]]",2
26,ABbframe00430.jpg,"[[394, 260, 417, 348]]",2
27,ABbframe00457.jpg,"[[271, 221, 305, 353]]",2
28,ABmframe00127.jpg,"[[430, 241, 464, 323]]",2
29,ABmframe00133.jpg,"[[392, 240, 423, 317]]",2
30,ABmframe00142.jpg,"[[334, 225, 362, 292]]",2
31,ABmframe00157.jpg,"[[260, 223, 290, 296]]",2
32,ABmframe00163.jpg,"[[316, 211, 333, 286]]",2
33,ABmframe00172.jpg,"[[348, 224, 370, 280]]",2
34,ABmframe00211.jpg,"[[529, 254, 574, 309]]",2
35,ABmframe00226.jpg,"[[571, 285, 597, 343]]",2
36,ABmframe00271.jpg,"[[194, 358, 240, 393]]",2
37,ABmframe00277.jpg,"[[158, 417, 202, 455]]",2
38,ABmframe00289.jpg,"[[102, 480, 139, 529]]",2
